Country,Source,Sector,Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AFG,Climate Watch,Total excluding LUCF,All GHG,11.63079506,11.89999328,11.54826269,11.67875561,11.73304832,12.18131843,13.23110066,14.21688009,15.06373502,15.98073034,14.20532527,12.60475975,15.25539353,15.9610327,15.57201238,16.63576076,17.26416633,18.21884691,21.34918799,24.31353007,28.58590265,32.44646096,30.92857237,30.43030008,31.1658158,31.61907371,30.86498363,31.75055044,32.58049106,32.73676917,31.11904539
AFG,Climate Watch,Total including LUCF,All GHG,9.242054365,9.511252579,9.159521993,9.290014907,9.344307621,9.792577735,10.84250456,11.82820669,12.67524122,13.59200964,11.81720797,12.72666135,15.37729513,16.0829343,15.69391398,16.75766236,17.38606793,18.34074851,21.47108959,24.43543167,28.70780425,32.20024186,30.68235327,30.18408098,30.9195967,31.37285461,31.01964103,31.90520784,32.73514846,32.89142657,31.27370279
AFG,Climate Watch,Energy ,All GHG,2.282585183,2.137722844,1.682460505,1.644298166,1.570635827,1.495373488,1.445504622,1.383235756,1.358066889,1.162998023,1.157229157,1.165280575,1.469031993,1.71428341,1.347234828,2.014086246,2.553276268,3.34106629,5.088356313,7.497246335,9.735836357,13.32334294,11.75644953,11.14535611,11.23306269,12.19826928,11.41276025,12.18425122,13.13404219,13.43123317,10.89152414
AFG,Climate Watch,Industrial Processes ,All GHG,0.052709382,0.055380307,0.058051231,0.061942156,0.064613081,0.067284005,0.081484146,0.095274288,0.109064429,0.122854571,0.099464712,0.101783,0.112275289,0.117052577,0.123052865,0.125457154,0.154549929,0.177103705,0.203857481,0.224611257,0.249415033,0.314576264,0.394037495,0.465778726,0.523989957,0.601661188,0.789337477,0.910723765,1.075560054,1.209746342,1.384822631
AFG,Climate Watch,Agriculture ,All GHG,8.0668838,8.3904684,8.4035242,8.4804835,8.5179626,8.9510191,9.9774717,10.9527315,11.7519668,12.7912425,10.9859978,9.2827557,11.5268389,11.8901425,11.7698636,12.0720494,12.0545518,12.1212682,13.3999451,13.857023,15.7883814,15.9022603,15.7777923,15.7248606,16.2204469,15.5368154,15.2975013,15.2071341,14.8393907,14.4812348,15.145087
AFG,Climate Watch,Waste ,All GHG,1.2286167,1.316421728,1.404226757,1.492031785,1.579836813,1.667641842,1.726640194,1.785638546,1.844636899,1.903635251,1.962633603,2.054940474,2.147247345,2.239554215,2.331861086,2.424167957,2.501788337,2.579408717,2.657029097,2.734649477,2.812269856,2.906281453,3.000293051,3.094304648,3.188316245,3.282327842,3.365384598,3.448441354,3.53149811,3.614554866,3.697611622
AFG,Climate Watch,Land-Use Change and Forestry ,All GHG,-2.3887407,-2.3887407,-2.3887407,-2.3887407,-2.3887407,-2.3887407,-2.3885961,-2.3886734,-2.3884938,-2.3887207,-2.3881173,0.1219016,0.1219016,0.1219016,0.1219016,0.1219016,0.1219016,0.1219016,0.1219016,0.1219016,0.1219016,-0.2462191,-0.2462191,-0.2462191,-0.2462191,-0.2462191,0.1546574,0.1546574,0.1546574,0.1546574,0.1546574
AFG,Climate Watch,Bunker Fuels ,All GHG,0.0194,0.0195,0.0195,0.0195,0.0162,0.0162,0.0162,0.0162,0.0162,0.0163,0.0163,0.0163,0.0163,0.0261,0.0326,0.0651,0.0813,0.1137,0.1554,0.2364,0.3484,0.9817,0.2849,0.1865,0.1842,0.0928,0.0706,0.1945,0.1723,0.0307,0.0221
AFG,Climate Watch,Total excluding LUCF,CO2,2.04687,1.94137,1.52547,1.52789,1.49359,1.45769,1.4073,1.3441,1.318,1.122,1.07812,1.088638,1.40303,1.653207,1.292307,1.961711,2.28368,2.84781,4.37564,6.55897,8.57615,11.96189,10.20813,9.40205,9.28134,10.05759,9.29493,10.02278,10.97238,11.23883,8.70947
AFG,Climate Watch,Total excluding LUCF,CH4,6.73557274,7.01887361,7.12443448,7.20986285,7.46289122,7.825029591,8.671811366,9.396953142,9.959927417,10.78237169,9.560365968,8.347272951,10.19537243,10.50694192,10.5003189,10.73172838,11.176055,11.61047661,12.90492073,13.38546484,15.19610646,15.5004959,15.63198785,15.82311729,16.30002674,15.94392618,15.81333064,15.59786259,15.91902455,15.679104,16.22203596
