State,Source,Sector,Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
USA.AK,US,Agriculture,CH4,0.017674,0.016529,0.017111,0.017616,0.020092,0.020969,0.022784,0.026085,0.026626,0.025757,0.022132,0.023517,0.025691,0.026721,0.028725,0.030796,0.032508,0.034813,0.031049,0.029576,0.029765,0.029334,0.03,0.026461,0.023997,0.025293,0.025257,0.027574,0.031089,0.034223,0.038531
USA.AK,US,Agriculture,CO2,0.004,0.003872,0.003793,0.004121,0.00409,0.003863,0.00341,0.00341,0.003446,0.00345,0.003454,0.003644,0.003596,0.003596,0.003596,0.003596,0.003596,0.003596,0.003507,0.003411,0.003589,0.003763,0.003887,0.003859,0.003793,0.00376,0.003769,0.003702,0.003669,0.003636,0.003603
USA.AK,US,Agriculture,N2O,0.00702,0.00666,0.006744,0.00682,0.007641,0.007948,0.008577,0.009663,0.009844,0.009487,0.008571,0.008936,0.009734,0.010162,0.010667,0.011388,0.011765,0.012736,0.011851,0.011747,0.012118,0.012324,0.013212,0.011731,0.010474,0.010642,0.010858,0.010732,0.010739,0.010716,0.010752
USA.AK,US,Agriculture,All GHG,0.028694,0.027062,0.027648,0.028557,0.031823,0.03278,0.034771,0.039157,0.039916,0.038694,0.034157,0.036097,0.039021,0.040479,0.042988,0.045781,0.047869,0.051145,0.046407,0.044734,0.045471,0.045421,0.047099,0.04205,0.038264,0.039696,0.039884,0.042008,0.045497,0.048575,0.052887
USA.AK,US,Energy,CH4,4.185502,4.296066,4.186742,3.949286,4.041076,4.179877,4.037637,3.712321,3.332468,2.95568,2.698654,2.617991,2.752326,2.758707,2.593962,2.449276,2.147533,1.999611,1.842755,1.73332,1.617967,1.571376,1.502967,1.434244,1.394292,1.365647,1.363559,1.373861,1.253905,1.221225,1.251457
USA.AK,US,Energy,CO2,31.16495,31.84425,33.1012,33.69987,33.13786,37.78791,39.51462,38.38823,39.5475,39.96157,40.67425,40.81791,40.59932,40.49229,42.86097,44.47072,42.80769,41.2196,37.55215,36.51816,35.52487,34.63108,34.19694,32.45543,32.78764,32.60174,31.0052,31.38946,31.32965,31.33215,33.36321
USA.AK,US,Energy,N2O,0.174055,0.177481,0.171354,0.169695,0.184602,0.188416,0.194273,0.199292,0.214172,0.206279,0.211334,0.209397,0.211689,0.216302,0.226243,0.221554,0.233735,0.203454,0.179514,0.162235,0.179182,0.170819,0.161626,0.151011,0.145539,0.1441,0.137906,0.134722,0.136725,0.137211,0.131763
USA.AK,US,Energy,All GHG,35.52451,36.3178,37.4593,37.81885,37.36354,42.15621,43.74653,42.29984,43.09414,43.12352,43.58424,43.6453,43.56333,43.4673,45.68118,47.14155,45.18896,43.42266,39.57442,38.41372,37.32202,36.37328,35.86153,34.04069,34.32747,34.11149,32.50667,32.89804,32.72028,32.69058,34.74643
USA.AK,US,Industrial Processes,CH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USA.AK,US,Industrial Processes,CO2,0.933661,1.07224,1.168257,1.223063,1.315177,1.251593,1.049714,0.992528,0.989388,0.953513,0.863917,0.706065,0.830924,0.747099,0.831808,0.928809,0.244538,0.275823,0.032113,0.028661,0.038584,0.037972,0.037093,0.037073,0.031712,0.038097,0.03894,0.037897,0.038682,0.039629,0.038349
